words,sentiment_coeff
na,-357.6213283378746
w,-330.87079695251197
i,-397.76995975622907
jest,-267.31880964284966
sie,-187.61361357269186
z,-234.7402456581074
ze,-289.1820431660806
to,-235.79424423318892
do,-214.46288815509342
nie,-197.90399631453863
cd_projekt,-216.70920553894325
zl,-164.72911080051267
cd_projektu,-162.80070640851838
a,-194.9426629594923
gra,-142.8897299852432
gry,-206.35286863836254
oraz,-181.08651475962054
o,-195.91249311128124
spolki,-115.96492820624768
projektu,-212.5403897380488
bedzie,-229.82810028199904
cyberpunka,-128.7411030163278
spolka,-151.88628741194475
gier,-179.08080016973992
od,-166.99961738801312
po,-172.2142983601488
ale,-102.56602683604524
mln_zl,-59.22239066427497
juz,-144.809868166646
jednak,-160.26175236119923
dla,-155.0966135702552
cyberpunk_2077,-113.73742421722653
roku,-149.46156630977953
za,-179.05004085736618
ma,-187.82810449855745
sa,-179.242377643182
niz,-110.08811496806803
premiera,-108.54037966920002
cyberpunka_2077,-114.59302716073695
?,-87.81841913835233
beda,-166.5275110763862
uwage,-145.10778024639367
premiery,-101.3118049915791
inwestorow,-130.37910283147815
sprzedazy,-124.27672531503177
byc,-162.09040877131378
co,-123.51254662019497
tak,-173.75049171021766
nad,-176.6281756678902
analityk,-168.59777454463165
takze,-108.00143909692898
r,-128.25612557239137
w_historii,-134.20574649454036
tez,-111.67536137694873
przedsprzedazy,-131.2501633610877
xbox_one,-92.14959387488517
ktore,-126.09499378890584
adam_kicinski,-101.22100133106164
bylo,-120.1806210035979
powiedzial_adam,-108.23790136329389
zarzadu,-147.53319123248087
2077,-121.98816668798399
2020_r,-96.89246060071135
proc,-100.4113297152958
moze,-172.1411572547119
e3,-121.0737079241302
w_tym,-101.62927413481943
3,-135.54336708713865
czyli,-136.35857435147958
przed,-135.1320904512566
sztuk,-80.00539896735314
cyberpunk,-131.2235583208612
produkcji,-159.19749884125716
pc,-111.3142288130293
do_konca,-71.60451033352457
premiere,-127.21106409274225
okolo,-119.77447025532938
bardzo,-75.128829158279
ponad,-121.50437182215255
jeszcze,-180.9426287880411
wczesniej,-172.84348519226828
mowi,-116.80628109030083
czy,-105.20111914602742
nowy,-102.23456279660523
to_nie,-128.85337204169775
nia,-29.552505321375353
dm_bos,-169.3540731228536
prezes_cd,-136.89601158174153
data_premiery,-75.85848999117152
dywidendy,-82.30069157792717
w_los,-96.29032618061741
4,-70.98223533181057
w_trakcie,-162.09541536755063
wyniki,-49.877147474895956
gry_cyberpunk,-131.5092074184393
pb,-70.09200747258367
mld_zl,-109.60760593765308
najwazniejsze,-137.4783411559413
przez,-44.06063275162992
wiedzmina_3,-123.27866907259093
w_ciagu,-106.7434783682518
obecnie,-132.77608927231955
dniach,-119.44377266669898
w_czwartek,-57.34171221268964
na_temat,-117.33812818339888
kicinski_prezes,-87.1312737899361
night_city,-71.91779977986964
5_mln,-154.68577660440974
na_poziomie,-96.78563765091864
wersji_na,-98.77799588278916
gre,-148.72701883116957
tylko,-122.99401760471223
jego,-74.86757096989876
niemniej,-184.26838845945272
mln,-104.20656104070015
25,-145.34885730152197
zostalo,-149.86991338901584
rozgrywki,-142.2564923509288
do_tej,-67.62369325562216
te,-91.05939943642299
nie_jest,-50.01096541287592
wiekszosc,-122.42430124761732
pory,-122.0017346578003
ze_spolka,-151.4255112588599
osob,-125.56690510734781
postaci,-104.33939841782906
dane,-69.46628803489143
byl,-65.77560269534443
preorderow,-34.80290555374398
na_razie,-55.872447423453984
jestesmy,-162.1588268011168
tym,-70.70453809224891
podczas,-96.64829714936269
przychodow,-79.76864510876919
ktory,-129.491345559085
2018_r,-34.6115602264159
9,-134.20292410592245
bardziej,-77.61350782534059
na_pc,-115.882179986087
wiceprezes_cd,-71.02158695571678
przy,-87.88130118671857
byly,-154.2607064850654
zgodnie_z,-90.87641694557725
jak,-89.19125960513706
